kinsler_sample_label,sample,assay,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
23-1-2,EC23-R2-T1,EC23-R2,EC23,2,1,1477496.0,-6.884449722033059e-05,2239.254385964912
23-2-2,EC23-R2-T2,EC23-R2,EC23,2,2,1960979.0,7.2005592360175e-05,2393.4181286549706
23-3-2,EC23-R2-T3,EC23-R2,EC23,2,3,2166322.0,-0.01902926105938103,1874.1812865497077
23-4-2,EC23-R2-T4,EC23-R2,EC23,2,4,2421463.0,-0.001999499252695245,1344.169590643275
23-1-3,EC23-R3-T1,EC23-R3,EC23,3,1,1229373.0,-0.0024535073777517016,1912.1788856304986
23-2-3,EC23-R3-T2,EC23-R3,EC23,3,2,1839677.0,-0.006763666917521386,2313.991202346041
23-3-3,EC23-R3-T3,EC23-R3,EC23,3,3,1491357.0,0.006641378131085483,1452.4633431085044
23-4-3,EC23-R3-T4,EC23-R3,EC23,3,4,1807631.0,-0.016288052403608217,1324.7888563049853
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,-0.016300489311048053,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,0.013316297859974853,806.1081081081081
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,-0.0019550755762386706,451.43243243243245
3-4-1,EC3-R1-T4,EC3-R1,EC3,1,4,3203355.0,-5.609061449321222e-05,570.6216216216217
3-1-2,EC3-R2-T1,EC3-R2,EC3,2,1,1938771.0,-0.005302036371684375,1121.4434782608696
3-2-2,EC3-R2-T2,EC3-R2,EC3,2,2,2551400.0,-0.0010664729311150288,708.1826086956522
3-3-2,EC3-R2-T3,EC3-R2,EC3,2,3,3100700.0,-0.0017166083747518213,564.1304347826087
3-4-2,EC3-R2-T4,EC3-R2,EC3,2,4,2832465.0,-0.0020060637712966756,349.67826086956524
3-1-3,EC3-R3-T1,EC3-R3,EC3,3,1,1259539.0,-0.016845192573227984,846.5454545454545
3-2-3,EC3-R3-T2,EC3-R3,EC3,3,2,2051769.0,-0.007456460547552395,775.9494949494949
3-3-3,EC3-R3-T3,EC3-R3,EC3,3,3,2431569.0,-0.00533994529950971,546.7676767676768
3-4-3,EC3-R3-T4,EC3-R3,EC3,3,4,3161827.0,0.0012892750596858074,509.32323232323233
A1,M3-R1-T1,M3-R1,M3,1,1,4885816.0,0.008621285051802126,4852.4223433242505
A2,M3-R1-T2,M3-R1,M3,1,2,8910028.0,-0.01605366208853209,6236.356948228883
A3,M3-R1-T3,M3-R1,M3,1,3,1036411.0,-0.006220453621379628,454.4223433242507
A4,M3-R1-T4,M3-R1,M3,1,4,5206525.0,0.00618790900027221,1482.0
B1,M3-R2-T1,M3-R2,M3,2,1,1989639.0,-0.01878413195113916,2071.831978319783
B2,M3-R2-T2,M3-R2,M3,2,2,18659452.0,0.002692017531604249,12750.753387533876
B3,M3-R2-T3,M3-R2,M3,2,3,20362738.0,-0.01892342329328504,7617.620596205962
B4,M3-R2-T4,M3-R2,M3,2,4,47819795.0,0.01131030003395158,13341.81300813008
C1,M3-R3-T1,M3-R3,M3,3,1,6405822.0,-0.0011970048717231195,6320.333333333333
C2,M3-R3-T2,M3-R3,M3,3,2,14613357.0,-0.008330320965864722,11229.704607046071
C3,M3-R3-T3,M3-R3,M3,3,3,2722693.0,-0.009049665026431678,1492.1680216802167
C4,M3-R3-T4,M3-R3,M3,3,4,21449234.0,-0.0012768550478582177,8043.067750677506
D1,M3-R4-T1,M3-R4,M3,4,1,3909839.0,-0.005648088329839397,4511.915300546448
D2,M3-R4-T2,M3-R4,M3,4,2,2877255.0,0.02199251508058178,2483.1830601092897
D3,M3-R4-T3,M3-R4,M3,4,3,4314103.0,0.009794533691115607,2501.8688524590166
D4,M3-R4-T4,M3-R4,M3,4,4,4964839.0,0.005892148456237969,2062.5765027322404
