chen_sample_label,sample,assay,assay_set,treatment,rep,time,total_raw_count,bias_prevalence,normalization_factor
hBFA1-pH3_8-R1-Time16,hBFA1:pH3.8-R1-T16,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,2.0,2204561,0.34580245484318123,802.6883003170873
hBFA1-pH3_8-R1-Time24,hBFA1:pH3.8-R1-T24,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,3.0,2539318,-0.7231997584595701,905.6038538155861
hBFA1-pH3_8-R1-Time40,hBFA1:pH3.8-R1-T40,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,5.0,2296210,0.24138611648423722,651.3125980135912
hBFA1-pH3_8-R2-Time8,hBFA1:pH3.8-R2-T8,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,1.0,1711136,-4.421956458559749,563.5342995169082
hBFA1-pH3_8-R2-Time16,hBFA1:pH3.8-R2-T16,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,2.0,2404233,5.216600744166051,811.6843411053989
hBFA1-pH3_8-R2-Time24,hBFA1:pH3.8-R2-T24,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,3.0,2823044,1.3456844141936521,937.706385423598
hBFA1-pH3_8-R2-Time40,hBFA1:pH3.8-R2-T40,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,5.0,3102324,-1.9001483615946573,849.0212560386474
hBFA1-pH7_3-R1-Time8,hBFA1:pH7.3-R1-T8,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,1.0,2499948,-0.6848327115497006,846.1200578592093
hBFA1-pH7_3-R1-Time16,hBFA1:pH7.3-R1-T16,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,2.0,2244076,-0.042629739116040954,794.8829318262314
hBFA1-pH7_3-R1-Time24,hBFA1:pH7.3-R1-T24,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,3.0,2563277,1.2455186372422489,905.7641389428385
hBFA1-pH7_3-R1-Time40,hBFA1:pH7.3-R1-T40,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,5.0,2719186,-0.6585152902274984,912.480231436837
hBFA1-pH7_3-R2-Time8,hBFA1:pH7.3-R2-T8,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,1.0,2757245,-0.04829257173455833,917.0566298342542
hBFA1-pH7_3-R2-Time16,hBFA1:pH7.3-R2-T16,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,2.0,2680456,0.7178749805863449,919.3471859373037
hBFA1-pH7_3-R2-Time24,hBFA1:pH7.3-R2-T24,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,3.0,2585981,-0.8736691338615565,906.3306974278769
hBFA1-pH7_3-R2-Time40,hBFA1:pH7.3-R2-T40,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,5.0,2769573,0.25307997738552745,897.3517495395948
